Arquivo,Formato,Tamanho original (bits),Tamanho comprimido (bits),Tamanho Dicionário,Qtd de bits por código,Taxa de compressão,Tempo de compressão (ms),Tempo Relativo (ms/kB)
ex (4).txt,ascii,16416,1377,408,9,11.92156862745098,14.441117,7.206483337231969
ex (4).txt,binary,16416,11330,1031,11,1.4488967343336276,123.336646,61.54811184405458
ex (4).txt,binary,16416,11330,1031,11,1.4488967343336276,121.038462,60.401259789473684
ex (4).txt,binary,16416,11330,1031,11,1.4488967343336276,119.443385,59.60527594541911
ex (4).txt,binary,16416,11330,1031,11,1.4488967343336276,138.373943,69.05210410916179
ex (4).txt,binary,16416,11330,1031,11,1.4488967343336276,120.635989,60.20041556335283
ex (4).txt,binary,16416,11330,1031,11,1.4488967343336276,120.041205,59.9036032748538
ex (4).txt,binary,16416,11330,1031,11,1.4488967343336276,121.562774,60.662904764132556
ex (4).txt,binary,16416,11330,1031,11,1.4488967343336276,121.488114,60.62564753216374
ex (4).txt,binary,16416,11330,1031,11,1.4488967343336276,121.667684,60.71525751267056
ex (4).txt,binary,16416,11330,1031,11,1.4488967343336276,121.749191,60.75593157115009
ex (4).txt,binary,16416,11330,1031,11,1.4488967343336276,127.373457,63.562582830409355
ex (4).txt,binary,16416,11330,1031,11,1.4488967343336276,123.243039,61.501399578947364
ex (4).txt,binary,16416,11330,1031,11,1.4488967343336276,122.005044,60.88360870175438
ex (4).txt,binary,16416,11330,1031,11,1.4488967343336276,119.764216,59.76537874463938
ex (4).txt,binary,16416,11330,1031,11,1.4488967343336276,120.963467,60.363835384015594
ex (4).txt,binary,16416,11330,1031,11,1.4488967343336276,123.539806,61.64949383235867
ex (4).txt,binary,16416,11330,1031,11,1.4488967343336276,123.662565,61.71075368421052
ex (4).txt,binary,16416,11330,1031,11,1.4488967343336276,121.075689,60.41983700584795
ex (4).txt,binary,16416,11330,1031,11,1.4488967343336276,124.46019,62.108788771929824
ex (4).txt,binary,16416,11330,1031,11,1.4488967343336276,122.997122,61.378680764132554
functions.py,ascii,24424,12892,1427,11,1.8945082221532734,11.278902,3.7830316567310844
functions.py,ascii,24424,12892,1427,11,1.8945082221532734,11.793794,3.9557304474287585
functions.py,ascii,24424,12892,1427,11,1.8945082221532734,11.398191,3.82304211726171
functions.py,ascii,24424,12892,1427,11,1.8945082221532734,11.578929,3.8836630514248283
functions.py,ascii,24424,12892,1427,11,1.8945082221532734,11.591701,3.8879468797903702
functions.py,ascii,24424,12892,1427,11,1.8945082221532734,11.443261,3.8381589466098918
functions.py,ascii,24424,12892,1427,11,1.8945082221532734,12.318508,4.1317236134949225
functions.py,ascii,24424,12892,1427,11,1.8945082221532734,12.047003,4.040658719947593
functions.py,ascii,24424,12892,1427,11,1.8945082221532734,11.214173,3.7613210455289883
functions.py,ascii,24424,12892,1427,11,1.8945082221532734,11.258183,3.776082342613823
functions.py,ascii,24424,12892,1427,11,1.8945082221532734,11.570992,3.881000919751065
functions.py,ascii,24424,12892,1427,11,1.8945082221532734,28.051744,9.408773618080577
functions.py,ascii,24424,12892,1427,11,1.8945082221532734,11.45812,3.8431427710448736
functions.py,ascii,24424,12892,1427,11,1.8945082221532734,11.828346,3.9673194575827053
